Campaign_Name,Ad_Set_Name,Ad_Name,Date,Objective,Placement,Device,Age,Gender,Impressions,Reach,Frequency,Clicks,CTR,Link_Clicks,CPC,Spend,Conversions,Revenue,ROAS,AOV,Video_Views,Video_Avg_Watch_Time,Engagement,Post_Reactions,Post_Comments,Post_Shares
Cyber_Monday_2024,Conversion_Set,Facebook_Feed_Ad,2024-06-02,Traffic,Facebook_Feed,Desktop,25-34,Male,1594187,1223343,1.3,34468,2.16,26633,2.09,72026.37,2965,430464.34,5.98,145.18,0,0.0,9675,5144,771,359
Cyber_Monday_2024,Retargeting_Set,Facebook_Marketplace_Ad,2024-06-02,Conversions,Facebook_Marketplace,Mobile,45-54,Female,976166,662793,1.47,20528,2.1,18985,2.27,46525.01,1532,234872.02,5.05,153.31,0,0.0,4758,2422,601,221
Cyber_Monday_2024,Awareness_Set,Instagram_Stories_Ad,2024-06-02,Brand_Awareness,Instagram_Stories,Desktop,35-44,Female,1739067,1410040,1.23,28432,1.63,22085,1.85,52561.8,1617,196429.43,3.74,121.48,1213141,13.4,7750,4409,553,460
Summer_Sale_2024,Engagement_Set,Audience_Network_Ad,2024-06-02,Conversions,Audience_Network,Mobile,18-24,Female,1052990,729432,1.44,23545,2.24,20529,2.53,59620.07,2149,349431.47,5.86,162.6,0,0.0,4576,1992,526,270
Summer_Sale_2024,Consideration_Set,Instagram_Explore_Ad,2024-06-02,Brand_Awareness,Instagram_Explore,Mobile,25-34,Female,1027654,757270,1.36,18974,1.85,17019,2.06,39084.68,1910,316654.96,8.1,165.79,0,0.0,4919,2706,567,187
Summer_Sale_2024,Consideration_Set,Facebook_Feed_Ad,2024-06-02,Brand_Awareness,Facebook_Feed,Desktop,45-54,Male,817043,613425,1.33,19541,2.39,16012,2.55,49791.65,1459,170161.1,3.42,116.63,0,0.0,5078,2123,452,322
Back_To_School_2024,Awareness_Set,Audience_Network_Ad,2024-06-02,Brand_Awareness,Audience_Network,Mobile,18-24,Male,1078258,820571,1.31,23271,2.16,19576,2.02,46961.47,1670,258860.14,5.51,155.01,0,0.0,6207,3465,728,234
Back_To_School_2024,Retargeting_Set,Facebook_Marketplace_Ad,2024-06-02,Conversions,Facebook_Marketplace,Desktop,25-34,Female,620881,424455,1.46,12786,2.06,10741,2.54,32491.52,931,114317.38,3.52,122.79,0,0.0,2439,1347,261,92
Back_To_School_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-02,Brand_Awareness,Facebook_Feed,Mobile,45-54,Female,1091340,851403,1.28,16231,1.49,14684,2.38,38654.02,972,117534.81,3.04,120.92,0,0.0,7049,3347,650,418
Spring_Launch_2024,Engagement_Set,Instagram_Reels_Ad,2024-06-02,Conversions,Instagram_Reels,Desktop,25-34,Male,1423393,1171310,1.22,32795,2.3,27185,1.83,60129.0,3059,453917.2,7.55,148.39,897161,22.4,5456,2719,385,267
Spring_Launch_2024,Awareness_Set,Instagram_Explore_Ad,2024-06-02,Traffic,Instagram_Explore,Mobile,35-44,Male,444052,307649,1.44,6842,1.54,5989,2.42,16533.83,574,98616.65,5.96,171.81,0,0.0,2053,938,250,85
Spring_Launch_2024,Retargeting_Set,Facebook_Marketplace_Ad,2024-06-02,Conversions,Facebook_Marketplace,Mobile,18-24,Male,1136981,769535,1.48,29150,2.56,22513,2.54,74163.6,2370,411412.94,5.55,173.59,0,0.0,4231,2161,542,214
Valentine_Day_2024,Retargeting_Set,Facebook_Marketplace_Ad,2024-06-02,Conversions,Facebook_Marketplace,Mobile,25-34,Male,1938604,1510874,1.28,37714,1.95,32874,2.27,85769.05,3743,444054.14,5.18,118.64,0,0.0,8419,4967,1039,409
Valentine_Day_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-02,Traffic,Facebook_Feed,Desktop,35-44,Male,2041793,1463163,1.4,33194,1.63,28010,2.07,68743.11,2788,335978.0,4.89,120.51,0,0.0,13114,7832,1467,669
Valentine_Day_2024,Conversion_Set,Instagram_Stories_Ad,2024-06-02,Traffic,Instagram_Stories,Mobile,35-44,Female,685961,546758,1.25,15239,2.22,12079,2.56,39036.47,1455,248933.61,6.38,171.09,486131,19.2,3261,1912,397,118
New_Year_2024,Conversion_Set,Instagram_Explore_Ad,2024-06-02,Traffic,Instagram_Explore,Mobile,18-24,Female,1290383,943875,1.37,30616,2.37,28559,1.89,57936.7,2587,357243.15,6.17,138.09,0,0.0,8271,4701,994,405
New_Year_2024,Awareness_Set,Instagram_Feed_Ad,2024-06-02,Brand_Awareness,Instagram_Feed,Mobile,25-34,Female,738029,528436,1.4,10831,1.47,9877,2.48,26810.55,1126,195704.36,7.3,173.8,0,0.0,3812,2111,482,230
New_Year_2024,Awareness_Set,Instagram_Reels_Ad,2024-06-02,Brand_Awareness,Instagram_Reels,Mobile,35-44,Female,704874,523426,1.35,10960,1.55,10161,2.29,25136.03,734,113739.64,4.52,154.96,479817,16.5,2707,1446,273,157
Holiday_Campaign_2024,Lookalike_Set,Audience_Network_Ad,2024-06-03,Brand_Awareness,Audience_Network,Mobile,35-44,Male,791084,635103,1.25,16314,2.06,14035,2.53,41298.16,1229,152116.87,3.68,123.77,0,0.0,2837,1563,304,159
Holiday_Campaign_2024,Awareness_Set,Facebook_Marketplace_Ad,2024-06-03,Traffic,Facebook_Marketplace,Mobile,25-34,Female,903011,628004,1.44,12799,1.42,10554,2.28,29170.55,957,135294.48,4.64,141.37,0,0.0,5609,2634,565,328
Holiday_Campaign_2024,Consideration_Set,Instagram_Feed_Ad,2024-06-03,Brand_Awareness,Instagram_Feed,Desktop,25-34,Female,1463088,1124109,1.3,35623,2.43,33001,1.89,67306.97,3579,517318.48,7.69,144.54,0,0.0,6254,3075,805,311
Black_Friday_2024,Engagement_Set,Instagram_Feed_Ad,2024-06-03,Brand_Awareness,Instagram_Feed,Desktop,35-44,Male,455296,350582,1.3,7686,1.69,5978,1.87,14399.06,477,59534.54,4.13,124.81,0,0.0,1783,941,144,80
Black_Friday_2024,Traffic_Set,Facebook_Feed_Ad,2024-06-03,Traffic,Facebook_Feed,Mobile,35-44,Male,1766230,1317774,1.34,38875,2.2,30878,1.93,74998.21,2253,283423.42,3.78,125.8,0,0.0,7657,3333,576,295
Black_Friday_2024,Engagement_Set,Instagram_Explore_Ad,2024-06-03,Traffic,Instagram_Explore,Desktop,18-24,Male,642317,453443,1.42,11800,1.84,10036,2.37,27937.06,683,110895.84,3.97,162.37,0,0.0,3458,1439,423,216
Cyber_Monday_2024,Traffic_Set,Instagram_Stories_Ad,2024-06-03,Conversions,Instagram_Stories,Desktop,25-34,Female,565208,404989,1.4,13380,2.37,11937,1.92,25721.42,883,121401.36,4.72,137.49,365110,19.3,2603,1281,298,93
Cyber_Monday_2024,Conversion_Set,Facebook_Marketplace_Ad,2024-06-03,Traffic,Facebook_Marketplace,Desktop,18-24,Female,800852,626268,1.28,19815,2.47,16882,2.23,44152.97,1211,171901.35,3.89,141.95,0,0.0,4082,1830,351,189
Cyber_Monday_2024,Consideration_Set,Facebook_Feed_Ad,2024-06-03,Traffic,Facebook_Feed,Mobile,35-44,Female,1282831,927886,1.38,21214,1.65,17409,1.87,39572.4,2094,314996.99,7.96,150.43,0,0.0,7103,3962,709,267
Summer_Sale_2024,Traffic_Set,Instagram_Stories_Ad,2024-06-03,Traffic,Instagram_Stories,Mobile,45-54,Male,895652,683405,1.31,20550,2.29,17228,1.87,38475.16,1430,195994.05,5.09,137.06,616153,18.8,4091,2443,435,172
Summer_Sale_2024,Conversion_Set,Audience_Network_Ad,2024-06-03,Traffic,Audience_Network,Desktop,25-34,Female,634626,442923,1.43,10757,1.7,8522,1.92,20698.39,749,94415.7,4.56,126.06,0,0.0,3928,1634,398,185
Summer_Sale_2024,Awareness_Set,Instagram_Explore_Ad,2024-06-03,Conversions,Instagram_Explore,Desktop,18-24,Female,1246201,862129,1.45,23396,1.88,21753,2.52,58996.44,2227,291644.28,4.94,130.96,0,0.0,5000,2668,628,258
Back_To_School_2024,Conversion_Set,Audience_Network_Ad,2024-06-03,Conversions,Audience_Network,Mobile,25-34,Male,1965148,1409004,1.39,45658,2.32,36380,2.04,93363.2,3489,507445.05,5.44,145.44,0,0.0,8307,3513,885,362
Back_To_School_2024,Retargeting_Set,Instagram_Reels_Ad,2024-06-03,Brand_Awareness,Instagram_Reels,Desktop,35-44,Male,1138270,794688,1.43,22507,1.98,19255,1.81,40638.75,1624,201044.79,4.95,123.8,610656,23.3,5084,2857,433,281
Back_To_School_2024,Engagement_Set,Instagram_Feed_Ad,2024-06-03,Brand_Awareness,Instagram_Feed,Desktop,35-44,Male,857725,655598,1.31,16861,1.97,14079,2.07,34851.76,1696,278442.37,7.99,164.18,0,0.0,5485,2330,624,346
Spring_Launch_2024,Awareness_Set,Instagram_Stories_Ad,2024-06-03,Brand_Awareness,Instagram_Stories,Mobile,45-54,Female,936382,641397,1.46,21437,2.29,18492,2.5,53609.85,1344,217896.68,4.06,162.13,536006,14.4,3738,2104,410,189
Spring_Launch_2024,Lookalike_Set,Facebook_Marketplace_Ad,2024-06-03,Conversions,Facebook_Marketplace,Mobile,45-54,Male,946593,763503,1.24,17710,1.87,16006,2.15,38013.43,1312,187400.08,4.93,142.84,0,0.0,4168,2290,417,174
Spring_Launch_2024,Engagement_Set,Instagram_Feed_Ad,2024-06-03,Brand_Awareness,Instagram_Feed,Desktop,18-24,Male,1566822,1147828,1.37,32155,2.05,29553,2.31,74256.49,1981,337780.83,4.55,170.51,0,0.0,8434,3938,660,496
Valentine_Day_2024,Lookalike_Set,Facebook_Feed_Ad,2024-06-03,Brand_Awareness,Facebook_Feed,Desktop,18-24,Female,1676153,1265527,1.32,41445,2.47,37261,1.89,78475.03,2941,383542.78,4.89,130.41,0,0.0,9607,3907,1000,555
Valentine_Day_2024,Engagement_Set,Instagram_Explore_Ad,2024-06-03,Brand_Awareness,Instagram_Explore,Desktop,35-44,Female,2405714,1747299,1.38,57388,2.39,44981,2.5,143749.94,3564,495548.05,3.45,139.04,0,0.0,14174,6094,1187,803
Valentine_Day_2024,Lookalike_Set,Instagram_Feed_Ad,2024-06-03,Brand_Awareness,Instagram_Feed,Mobile,25-34,Female,2144567,1653830,1.3,47882,2.23,41047,1.98,94882.17,3475,439701.02,4.63,126.53,0,0.0,13350,6897,1255,652
New_Year_2024,Lookalike_Set,Instagram_Explore_Ad,2024-06-03,Brand_Awareness,Instagram_Explore,Desktop,45-54,Male,1442480,1006854,1.43,30342,2.1,25821,2.3,69728.34,1725,287356.0,4.12,166.58,0,0.0,9082,4659,1015,569
New_Year_2024,Consideration_Set,Audience_Network_Ad,2024-06-03,Brand_Awareness,Audience_Network,Desktop,35-44,Female,1603866,1119307,1.43,33545,2.09,29121,2.13,71559.37,3064,521472.23,7.29,170.19,0,0.0,10066,4934,773,649
New_Year_2024,Engagement_Set,Instagram_Stories_Ad,2024-06-03,Conversions,Instagram_Stories,Mobile,45-54,Male,2264334,1570767,1.44,56721,2.5,51779,2.22,125726.49,4786,665934.36,5.3,139.14,1209693,16.2,13378,5363,1204,628
Holiday_Campaign_2024,Conversion_Set,Instagram_Feed_Ad,2024-06-04,Conversions,Instagram_Feed,Mobile,25-34,Female,992894,807201,1.23,18027,1.82,14853,2.41,43427.06,1400,180637.91,4.16,129.03,0,0.0,4822,2064,388,240
Holiday_Campaign_2024,Consideration_Set,Facebook_Marketplace_Ad,2024-06-04,Traffic,Facebook_Marketplace,Mobile,18-24,Male,1423639,1156317,1.23,26121,1.83,22560,2.32,60506.49,1479,228483.56,3.78,154.49,0,0.0,5743,3401,453,272
Holiday_Campaign_2024,Traffic_Set,Instagram_Explore_Ad,2024-06-04,Traffic,Instagram_Explore,Mobile,45-54,Female,1367737,1127741,1.21,27390,2.0,23725,1.82,49823.16,2519,322871.63,6.48,128.17,0,0.0,8471,3735,689,305
Black_Friday_2024,Retargeting_Set,Instagram_Stories_Ad,2024-06-04,Traffic,Instagram_Stories,Desktop,25-34,Male,1844414,1401249,1.32,27276,1.48,24462,2.16,58886.0,2214,313423.23,5.32,141.56,1151280,18.6,7314,3191,890,463
Black_Friday_2024,Awareness_Set,Instagram_Explore_Ad,2024-06-04,Traffic,Instagram_Explore,Mobile,45-54,Male,802815,574503,1.4,17443,2.17,14555,1.78,31089.36,1107,174381.71,5.61,157.53,0,0.0,4396,1782,366,184
Black_Friday_2024,Lookalike_Set,Instagram_Reels_Ad,2024-06-04,Brand_Awareness,Instagram_Reels,Desktop,18-24,Male,832323,564278,1.48,12692,1.52,11435,1.92,24332.08,1108,143834.58,5.91,129.81,454327,15.2,4716,2693,565,221
Cyber_Monday_2024,Lookalike_Set,Instagram_Stories_Ad,2024-06-04,Brand_Awareness,Instagram_Stories,Desktop,45-54,Female,1815270,1281122,1.42,31799,1.75,29171,1.77,56330.07,1911,244717.7,4.34,128.06,956462,14.6,9528,4614,1177,567
Cyber_Monday_2024,Consideration_Set,Instagram_Reels_Ad,2024-06-04,Traffic,Instagram_Reels,Desktop,45-54,Female,921833,658109,1.4,17105,1.86,14801,2.0,34139.8,1470,205426.44,6.02,139.75,611665,17.3,4040,2382,467,158
Cyber_Monday_2024,Conversion_Set,Facebook_Marketplace_Ad,2024-06-04,Conversions,Facebook_Marketplace,Desktop,25-34,Female,1736961,1299446,1.34,42963,2.47,38708,2.13,91691.11,2452,322642.22,3.52,131.58,0,0.0,8901,4688,760,348
Summer_Sale_2024,Conversion_Set,Instagram_Explore_Ad,2024-06-04,Conversions,Instagram_Explore,Desktop,35-44,Male,948986,780693,1.22,19272,2.03,15305,2.0,38536.88,1096,185256.15,4.81,169.03,0,0.0,3656,1883,316,188
Summer_Sale_2024,Consideration_Set,Instagram_Feed_Ad,2024-06-04,Brand_Awareness,Instagram_Feed,Desktop,25-34,Male,692360,553515,1.25,11408,1.65,8748,1.88,21452.28,1131,188521.44,8.79,166.69,0,0.0,3664,1905,402,147
Summer_Sale_2024,Retargeting_Set,Instagram_Stories_Ad,2024-06-04,Conversions,Instagram_Stories,Desktop,45-54,Female,787371,580934,1.36,14643,1.86,12493,1.8,26376.88,936,148642.37,5.64,158.81,426383,19.1,3335,1593,291,152
Back_To_School_2024,Traffic_Set,Audience_Network_Ad,2024-06-04,Brand_Awareness,Audience_Network,Mobile,45-54,Female,579702,417135,1.39,12055,2.08,10197,2.34,28257.29,1217,192881.33,6.83,158.49,0,0.0,2402,975,205,126
Back_To_School_2024,Conversion_Set,Instagram_Reels_Ad,2024-06-04,Conversions,Instagram_Reels,Desktop,45-54,Male,1113744,834700,1.33,23569,2.12,19369,2.44,57470.71,1440,173315.51,3.02,120.36,790011,18.0,6198,3018,525,369
Back_To_School_2024,Conversion_Set,Instagram_Explore_Ad,2024-06-04,Brand_Awareness,Instagram_Explore,Desktop,45-54,Male,1551819,1209184,1.28,26793,1.73,23185,2.08,55666.66,1618,273772.38,4.92,169.2,0,0.0,6068,3580,587,246
Spring_Launch_2024,Engagement_Set,Instagram_Explore_Ad,2024-06-04,Traffic,Instagram_Explore,Mobile,45-54,Male,1850344,1491269,1.24,42163,2.28,38035,2.34,98650.01,3762,621683.09,6.3,165.25,0,0.0,7862,3914,654,508
Spring_Launch_2024,Awareness_Set,Audience_Network_Ad,2024-06-04,Brand_Awareness,Audience_Network,Desktop,18-24,Male,2340300,1593543,1.47,52579,2.25,48493,1.92,100894.17,4377,740143.35,7.34,169.1,0,0.0,8429,4547,740,528
Spring_Launch_2024,Consideration_Set,Instagram_Reels_Ad,2024-06-04,Brand_Awareness,Instagram_Reels,Desktop,25-34,Male,1341106,1095200,1.22,26407,1.97,24071,2.5,66102.09,1883,308957.17,4.67,164.08,710279,19.0,5619,2383,419,314
Valentine_Day_2024,Conversion_Set,Instagram_Feed_Ad,2024-06-04,Brand_Awareness,Instagram_Feed,Desktop,45-54,Female,1251109,980512,1.28,18496,1.48,15140,2.23,41333.98,1737,233605.04,5.65,134.49,0,0.0,6728,3883,719,282
Valentine_Day_2024,Traffic_Set,Instagram_Stories_Ad,2024-06-04,Conversions,Instagram_Stories,Mobile,45-54,Male,1165752,939030,1.24,16618,1.43,15183,2.23,36982.77,1679,272551.11,7.37,162.33,908660,16.4,6763,3248,668,364
Valentine_Day_2024,Conversion_Set,Instagram_Reels_Ad,2024-06-04,Conversions,Instagram_Reels,Mobile,18-24,Male,691767,569056,1.22,16062,2.32,13428,2.13,34224.82,1468,190618.44,5.57,129.85,379588,16.4,3017,1385,253,109
New_Year_2024,Consideration_Set,Instagram_Stories_Ad,2024-06-04,Conversions,Instagram_Stories,Mobile,25-34,Female,1353187,1113887,1.21,25890,1.91,21497,2.36,61050.94,1721,294459.23,4.82,171.1,980315,13.6,6431,3703,814,315
New_Year_2024,Lookalike_Set,Facebook_Feed_Ad,2024-06-04,Conversions,Facebook_Feed,Mobile,45-54,Female,1360295,952281,1.43,35223,2.59,28332,2.59,91213.62,3070,464333.61,5.09,151.25,0,0.0,6853,3057,552,285
New_Year_2024,Lookalike_Set,Facebook_Marketplace_Ad,2024-06-04,Traffic,Facebook_Marketplace,Mobile,25-34,Female,589979,467226,1.26,10738,1.82,8320,2.61,28056.36,1056,179318.97,6.39,169.81,0,0.0,3825,1663,358,220
Holiday_Campaign_2024,Engagement_Set,Facebook_Feed_Ad,2024-06-05,Traffic,Facebook_Feed,Desktop,45-54,Male,736926,514436,1.43,17531,2.38,14080,1.96,34307.46,1433,215509.61,6.28,150.39,0,0.0,3861,1615,473,165
Holiday_Campaign_2024,Engagement_Set,Instagram_Feed_Ad,2024-06-05,Traffic,Instagram_Feed,Mobile,18-24,Female,1504862,1216398,1.24,38325,2.55,34935,2.47,94753.74,3351,495779.54,5.23,147.95,0,0.0,5659,2725,522,242
Holiday_Campaign_2024,Traffic_Set,Facebook_Marketplace_Ad,2024-06-05,Brand_Awareness,Facebook_Marketplace,Mobile,18-24,Female,1834042,1374396,1.33,27460,1.5,22034,2.36,64840.41,1638,270876.06,4.18,165.37,0,0.0,9143,4536,964,546
Black_Friday_2024,Lookalike_Set,Instagram_Explore_Ad,2024-06-05,Conversions,Instagram_Explore,Desktop,18-24,Female,1388496,1078448,1.29,28865,2.08,23392,2.53,73120.66,2721,419551.55,5.74,154.19,0,0.0,8402,4818,945,505
Black_Friday_2024,Retargeting_Set,Instagram_Feed_Ad,2024-06-05,Conversions,Instagram_Feed,Desktop,45-54,Male,1580731,1228261,1.29,33864,2.14,30239,1.9,64327.12,3328,554334.73,8.62,166.57,0,0.0,5671,3205,440,255
Black_Friday_2024,Engagement_Set,Facebook_Feed_Ad,2024-06-05,Traffic,Facebook_Feed,Desktop,45-54,Female,1619979,1132549,1.43,38580,2.38,34971,2.21,85129.53,2172,288111.92,3.38,132.65,0,0.0,8668,5168,935,370
Cyber_Monday_2024,Traffic_Set,Facebook_Marketplace_Ad,2024-06-05,Conversions,Facebook_Marketplace,Mobile,18-24,Female,1561615,1180577,1.32,36476,2.34,28567,2.43,88625.9,2990,513842.07,5.8,171.85,0,0.0,7067,3720,889,269
Cyber_Monday_2024,Traffic_Set,Instagram_Feed_Ad,2024-06-05,Brand_Awareness,Instagram_Feed,Desktop,45-54,Female,707146,550288,1.29,10475,1.48,8549,2.38,24963.93,620,92854.85,3.72,149.77,0,0.0,3208,1681,233,196
Cyber_Monday_2024,Traffic_Set,Instagram_Explore_Ad,2024-06-05,Brand_Awareness,Instagram_Explore,Desktop,25-34,Female,1213271,995284,1.22,27900,2.3,21960,2.43,67720.88,1595,187066.65,2.76,117.28,0,0.0,5424,2699,630,301
Summer_Sale_2024,Conversion_Set,Audience_Network_Ad,2024-06-05,Conversions,Audience_Network,Desktop,18-24,Male,657486,470788,1.4,17071,2.6,14296,2.16,36825.91,1090,176687.86,4.8,162.1,0,0.0,3669,1629,274,203
