Campaign_Name,Placement_Name,Creative_Name,Site_Name,Date,Ad_Type,Environment,Device,Impressions,Clicks,CTR,Total_Conversions,Post_Click_Conversions,Post_View_Conversions,Click_Through_Conversions,View_Through_Conversions,Media_Cost,Revenue,ROAS,CPM,CPC,CPA,Viewable_Impressions,Measurable_Impressions,Viewability_Rate,Active_View_Viewable_Impressions,Active_View_Measurable_Impressions,Active_View_Eligible_Impressions,Active_View_Avg_Time_Seconds
Summer_Sale_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-01,Display,Desktop,Desktop,1850924,43133,2.33,3402,2891,511,2891,511,95720.21,632955.75,6.61,51.71,2.22,28.14,1665831,1850924,90.0,1665831,1850924,1850924,15.6
Summer_Sale_2024,Native_Placement,Native_Creative,Shopping.com,2024-06-01,Native,Desktop,Desktop,1786150,41364,2.32,2317,1969,348,1969,348,73665.96,412127.81,5.59,41.24,1.78,31.79,1607535,1786150,90.0,1607535,1786150,1786150,12.4
Back_To_School_2024,Display_Placement,Display_Creative,PremiumNews.com,2024-06-01,Display,Mobile,Mobile,1611711,33876,2.1,1973,1677,296,1677,296,81726.7,293438.99,3.59,50.71,2.41,41.42,1450539,1611711,90.0,1450539,1611711,1611711,10.2
Back_To_School_2024,Display_Placement,Display_Creative,PremiumNews.com,2024-06-01,Display,Mobile,Mobile,2013880,57471,2.85,4095,3480,615,3480,615,120771.58,752474.82,6.23,59.97,2.1,29.49,1812492,2013880,90.0,1812492,2013880,2013880,13.5
Back_To_School_2024,Video_Placement,Video_Creative,TechReview.com,2024-06-01,Video,Desktop,Desktop,1887462,41186,2.18,3964,3369,595,3369,595,96759.19,653939.63,6.76,51.26,2.35,24.41,1698715,1887462,90.0,1698715,1887462,1887462,11.6
Spring_Launch_2024,Native_Placement,Native_Creative,PremiumNews.com,2024-06-01,Native,Desktop,Desktop,2707922,66166,2.44,5324,4525,799,4525,799,153278.68,921597.84,6.01,56.6,2.32,28.79,2437129,2707922,90.0,2437129,2707922,2707922,9.9
Spring_Launch_2024,Video_Placement,Video_Creative,Lifestyle.com,2024-06-01,Video,Desktop,Desktop,2620798,59662,2.28,3181,2703,478,2703,478,122150.46,582269.16,4.77,46.61,2.05,38.4,2358718,2620798,90.0,2358718,2620798,2620798,10.0
Spring_Launch_2024,Native_Placement,Native_Creative,Deals.com,2024-06-01,Native,Desktop,Desktop,1761210,46558,2.64,3737,3176,561,3176,561,85123.22,693667.75,8.15,48.33,1.83,22.78,1585089,1761210,90.0,1585089,1761210,1761210,13.7
Valentine_Day_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-01,Native,Desktop,Desktop,1013098,20632,2.04,1227,1042,185,1042,185,49137.47,209153.61,4.26,48.5,2.38,40.05,911788,1013098,90.0,911788,1013098,1013098,12.9
Valentine_Day_2024,Video_Placement,Video_Creative,Lifestyle.com,2024-06-01,Video,Mobile,Mobile,1653201,25804,1.56,1432,1217,215,1217,215,46853.0,209117.72,4.46,28.34,1.82,32.72,1487880,1653201,90.0,1487880,1653201,1653201,13.7
Valentine_Day_2024,Video_Placement,Video_Creative,TechReview.com,2024-06-01,Video,Desktop,Desktop,3023756,54979,1.82,3256,2767,489,2767,489,99092.78,628783.46,6.35,32.77,1.8,30.43,2721380,3023756,90.0,2721380,3023756,3023756,14.0
New_Year_2024,Display_Placement,Display_Creative,Deals.com,2024-06-01,Display,Desktop,Desktop,2995785,58887,1.97,4239,3603,636,3603,636,103352.63,828324.96,8.01,34.5,1.76,24.38,2696206,2995785,90.0,2696206,2995785,2995785,14.4
New_Year_2024,Native_Placement,Native_Creative,TechReview.com,2024-06-01,Native,Mobile,Mobile,2587498,59922,2.32,4505,3829,676,3829,676,113626.44,702986.83,6.19,43.91,1.9,25.22,2328748,2587498,90.0,2328748,2587498,2587498,12.9
New_Year_2024,Display_Placement,Display_Creative,PremiumNews.com,2024-06-01,Display,Mobile,Mobile,1376342,22548,1.64,1752,1489,263,1489,263,55302.17,334856.02,6.06,40.18,2.45,31.57,1238707,1376342,90.0,1238707,1376342,1376342,8.8
Holiday_Campaign_2024,Native_Placement,Native_Creative,PremiumNews.com,2024-06-02,Native,Mobile,Mobile,1782429,41168,2.31,3733,3173,560,3173,560,102168.16,703258.73,6.88,57.32,2.48,27.37,1604186,1782429,90.0,1604186,1782429,1782429,13.8
Holiday_Campaign_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-02,Native,Mobile,Mobile,1124869,18401,1.64,1005,854,151,854,151,40374.45,147077.35,3.64,35.89,2.19,40.17,1012382,1124869,90.0,1012382,1124869,1124869,14.3
Holiday_Campaign_2024,Video_Placement,Video_Creative,Lifestyle.com,2024-06-02,Video,Desktop,Desktop,1713481,28188,1.65,2629,2234,395,2234,395,59714.04,501156.72,8.39,34.85,2.12,22.71,1542132,1713481,90.0,1542132,1713481,1713481,15.5
Black_Friday_2024,Native_Placement,Native_Creative,PremiumNews.com,2024-06-02,Native,Mobile,Mobile,2151450,43940,2.04,2573,2187,386,2187,386,102423.33,437951.28,4.28,47.61,2.33,39.81,1936305,2151450,90.0,1936305,2151450,2151450,15.7
Black_Friday_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-02,Display,Desktop,Desktop,1153407,28242,2.45,2739,2328,411,2328,411,63231.59,405392.46,6.41,54.82,2.24,23.09,1038066,1153407,90.0,1038066,1153407,1153407,13.2
Black_Friday_2024,Native_Placement,Native_Creative,TechReview.com,2024-06-02,Native,Desktop,Desktop,1148671,18152,1.58,1226,1042,184,1042,184,34552.83,226475.69,6.55,30.08,1.9,28.18,1033803,1148671,90.0,1033803,1148671,1148671,11.6
Cyber_Monday_2024,Native_Placement,Native_Creative,Deals.com,2024-06-02,Native,Desktop,Desktop,1376769,21497,1.56,1142,970,172,970,172,36644.29,177794.87,4.85,26.62,1.7,32.09,1239092,1376769,90.0,1239092,1376769,1376769,11.6
Cyber_Monday_2024,Native_Placement,Native_Creative,TechReview.com,2024-06-02,Native,Desktop,Desktop,1844704,52415,2.84,3587,3048,539,3048,539,90507.78,553975.95,6.12,49.06,1.73,25.23,1660233,1844704,90.0,1660233,1844704,1844704,15.5
Cyber_Monday_2024,Video_Placement,Video_Creative,Lifestyle.com,2024-06-02,Video,Desktop,Desktop,2360219,60965,2.58,3541,3009,532,3009,532,109333.96,531945.12,4.87,46.32,1.79,30.88,2124197,2360219,90.0,2124197,2360219,2360219,15.2
Summer_Sale_2024,Video_Placement,Video_Creative,Lifestyle.com,2024-06-02,Video,Desktop,Desktop,1529360,36535,2.39,2766,2351,415,2351,415,78085.8,427256.28,5.47,51.06,2.14,28.23,1376424,1529360,90.0,1376424,1529360,1529360,13.5
Summer_Sale_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-02,Video,Mobile,Mobile,870429,24819,2.85,1332,1132,200,1132,200,42741.58,214527.95,5.02,49.1,1.72,32.09,783386,870429,90.0,783386,870429,870429,15.0
Summer_Sale_2024,Video_Placement,Video_Creative,Deals.com,2024-06-02,Video,Mobile,Mobile,2333338,50469,2.16,2690,2286,404,2286,404,88131.93,472111.86,5.36,37.77,1.75,32.76,2100004,2333338,90.0,2100004,2333338,2333338,10.2
Back_To_School_2024,Display_Placement,Display_Creative,Deals.com,2024-06-02,Display,Desktop,Desktop,2602997,67071,2.58,6087,5173,914,5173,914,120217.49,1020978.21,8.49,46.18,1.79,19.75,2342697,2602997,90.0,2342697,2602997,2602997,15.9
Back_To_School_2024,Native_Placement,Native_Creative,Shopping.com,2024-06-02,Native,Desktop,Desktop,3252205,55104,1.69,4138,3517,621,3517,621,135269.28,690805.91,5.11,41.59,2.45,32.69,2926984,3252205,90.0,2926984,3252205,3252205,15.0
Back_To_School_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-02,Display,Desktop,Desktop,2296944,38611,1.68,2283,1940,343,1940,343,66380.33,352634.58,5.31,28.9,1.72,29.08,2067249,2296944,90.0,2067249,2296944,2296944,15.5
Spring_Launch_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-02,Video,Mobile,Mobile,2026869,50981,2.52,4102,3486,616,3486,616,102201.25,638106.78,6.24,50.42,2.0,24.91,1824182,2026869,90.0,1824182,2026869,2026869,15.7
Spring_Launch_2024,Video_Placement,Video_Creative,Deals.com,2024-06-02,Video,Desktop,Desktop,1754389,38158,2.18,3713,3156,557,3156,557,76411.44,698268.23,9.14,43.55,2.0,20.58,1578950,1754389,90.0,1578950,1754389,1754389,15.2
Spring_Launch_2024,Video_Placement,Video_Creative,Shopping.com,2024-06-02,Video,Desktop,Desktop,1792211,29843,1.67,2876,2444,432,2444,432,60812.67,415907.67,6.84,33.93,2.04,21.14,1612989,1792211,90.0,1612989,1792211,1792211,12.5
Valentine_Day_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-02,Video,Mobile,Mobile,1472031,37749,2.56,3583,3045,538,3045,538,92437.61,689537.34,7.46,62.8,2.45,25.8,1324827,1472031,90.0,1324827,1472031,1472031,9.0
Valentine_Day_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-02,Native,Desktop,Desktop,2785136,51194,1.84,3119,2651,468,2651,468,120421.99,517047.9,4.29,43.24,2.35,38.61,2506622,2785136,90.0,2506622,2785136,2785136,15.6
Valentine_Day_2024,Video_Placement,Video_Creative,Lifestyle.com,2024-06-02,Video,Mobile,Mobile,1784251,46370,2.6,2719,2311,408,2311,408,84779.42,459089.39,5.42,47.52,1.83,31.18,1605825,1784251,90.0,1605825,1784251,1784251,11.7
New_Year_2024,Native_Placement,Native_Creative,TechReview.com,2024-06-02,Native,Mobile,Mobile,2580050,71746,2.78,5889,5005,884,5005,884,138029.25,902891.73,6.54,53.5,1.92,23.44,2322045,2580050,90.0,2322045,2580050,2580050,11.9
New_Year_2024,Native_Placement,Native_Creative,PremiumNews.com,2024-06-02,Native,Mobile,Mobile,2141341,49972,2.33,3221,2737,484,2737,484,116170.3,481608.66,4.15,54.25,2.32,36.07,1927206,2141341,90.0,1927206,2141341,2141341,13.0
New_Year_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-02,Display,Mobile,Mobile,2083768,37779,1.81,3387,2878,509,2878,509,82999.06,600961.62,7.24,39.83,2.2,24.51,1875391,2083768,90.0,1875391,2083768,2083768,12.5
Holiday_Campaign_2024,Video_Placement,Video_Creative,Shopping.com,2024-06-03,Video,Desktop,Desktop,2142976,52631,2.46,3667,3116,551,3116,551,98968.86,543171.24,5.49,46.18,1.88,26.99,1928678,2142976,90.0,1928678,2142976,2142976,10.0
Holiday_Campaign_2024,Display_Placement,Display_Creative,Lifestyle.com,2024-06-03,Display,Mobile,Mobile,3119218,64784,2.08,6021,5117,904,5117,904,118119.26,1000650.49,8.47,37.87,1.82,19.62,2807296,3119218,90.0,2807296,3119218,3119218,16.0
Holiday_Campaign_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-03,Native,Desktop,Desktop,1963838,45640,2.32,4283,3640,643,3640,643,113083.78,803689.45,7.11,57.58,2.48,26.4,1767454,1963838,90.0,1767454,1963838,1963838,15.2
Black_Friday_2024,Native_Placement,Native_Creative,TechReview.com,2024-06-03,Native,Mobile,Mobile,3120407,57133,1.83,4878,4146,732,4146,732,142937.79,835711.69,5.85,45.81,2.5,29.3,2808366,3120407,90.0,2808366,3120407,3120407,10.7
Black_Friday_2024,Native_Placement,Native_Creative,Shopping.com,2024-06-03,Native,Desktop,Desktop,2018567,49487,2.45,3061,2601,460,2601,460,113034.2,534019.23,4.72,56.0,2.28,36.93,1816710,2018567,90.0,1816710,2018567,2018567,13.3
Black_Friday_2024,Native_Placement,Native_Creative,Deals.com,2024-06-03,Native,Mobile,Mobile,1148055,20033,1.74,1613,1371,242,1371,242,43520.4,260884.4,5.99,37.91,2.17,26.98,1033249,1148055,90.0,1033249,1148055,1148055,11.0
Cyber_Monday_2024,Video_Placement,Video_Creative,Shopping.com,2024-06-03,Video,Mobile,Mobile,2032767,44449,2.19,4283,3640,643,3640,643,103183.65,804941.57,7.8,50.76,2.32,24.09,1829490,2032767,90.0,1829490,2032767,2032767,12.5
Cyber_Monday_2024,Display_Placement,Display_Creative,Deals.com,2024-06-03,Display,Mobile,Mobile,2238508,40510,1.81,3441,2924,517,2924,517,82402.63,627517.24,7.62,36.81,2.03,23.95,2014657,2238508,90.0,2014657,2238508,2238508,11.8
Cyber_Monday_2024,Video_Placement,Video_Creative,Deals.com,2024-06-03,Video,Mobile,Mobile,799758,14143,1.77,1259,1070,189,1070,189,26832.63,198899.43,7.41,33.55,1.9,21.31,719782,799758,90.0,719782,799758,799758,15.7
Summer_Sale_2024,Display_Placement,Display_Creative,Lifestyle.com,2024-06-03,Display,Mobile,Mobile,1799285,30423,1.69,1793,1524,269,1524,269,58071.08,313405.25,5.4,32.27,1.91,32.39,1619356,1799285,90.0,1619356,1799285,1799285,14.4
Summer_Sale_2024,Video_Placement,Video_Creative,Deals.com,2024-06-03,Video,Mobile,Mobile,2107937,56687,2.69,3254,2765,489,2765,489,105119.43,631255.54,6.01,49.87,1.85,32.3,1897143,2107937,90.0,1897143,2107937,2107937,9.8
Summer_Sale_2024,Native_Placement,Native_Creative,Shopping.com,2024-06-03,Native,Mobile,Mobile,2281620,56337,2.47,3142,2670,472,2670,472,117536.66,537181.29,4.57,51.51,2.09,37.41,2053458,2281620,90.0,2053458,2281620,2281620,15.7
Back_To_School_2024,Display_Placement,Display_Creative,Deals.com,2024-06-03,Display,Desktop,Desktop,2556415,54444,2.13,3133,2663,470,2663,470,120697.17,486416.25,4.03,47.21,2.22,38.52,2300773,2556415,90.0,2300773,2556415,2556415,9.3
Back_To_School_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-03,Native,Mobile,Mobile,1604544,30420,1.9,1790,1521,269,1521,269,68979.54,333666.36,4.84,42.99,2.27,38.54,1444089,1604544,90.0,1444089,1604544,1604544,9.2
Back_To_School_2024,Video_Placement,Video_Creative,Lifestyle.com,2024-06-03,Video,Desktop,Desktop,1225776,20335,1.66,1110,943,167,943,167,45427.24,193699.41,4.26,37.06,2.23,40.93,1103198,1225776,90.0,1103198,1225776,1225776,13.7
Spring_Launch_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-03,Native,Mobile,Mobile,1437425,37647,2.62,2902,2466,436,2466,436,92300.94,491215.95,5.32,64.21,2.45,31.81,1293682,1437425,90.0,1293682,1437425,1437425,14.7
Spring_Launch_2024,Native_Placement,Native_Creative,Shopping.com,2024-06-03,Native,Desktop,Desktop,1698662,35918,2.11,3257,2768,489,2768,489,63590.46,564473.29,8.88,37.44,1.77,19.52,1528795,1698662,90.0,1528795,1698662,1698662,14.2
Spring_Launch_2024,Native_Placement,Native_Creative,Shopping.com,2024-06-03,Native,Desktop,Desktop,1790031,41542,2.32,3018,2565,453,2565,453,78890.64,576078.07,7.3,44.07,1.9,26.14,1611027,1790031,90.0,1611027,1790031,1790031,11.5
Valentine_Day_2024,Video_Placement,Video_Creative,Deals.com,2024-06-03,Video,Desktop,Desktop,3139133,49654,1.58,3125,2656,469,2656,469,97832.84,558594.62,5.71,31.17,1.97,31.31,2825219,3139133,90.0,2825219,3139133,3139133,11.1
Valentine_Day_2024,Display_Placement,Display_Creative,PremiumNews.com,2024-06-03,Display,Mobile,Mobile,2056139,36383,1.77,2334,1983,351,1983,351,66503.75,361513.15,5.44,32.34,1.83,28.49,1850525,2056139,90.0,1850525,2056139,2056139,14.5
Valentine_Day_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-03,Video,Desktop,Desktop,1182154,24527,2.07,2354,2000,354,2000,354,50408.62,451522.07,8.96,42.64,2.06,21.41,1063938,1182154,90.0,1063938,1182154,1182154,11.0
New_Year_2024,Display_Placement,Display_Creative,Lifestyle.com,2024-06-03,Display,Mobile,Mobile,1215565,25078,2.06,1932,1642,290,1642,290,54438.51,303622.26,5.58,44.78,2.17,28.18,1094008,1215565,90.0,1094008,1215565,1215565,14.7
New_Year_2024,Display_Placement,Display_Creative,Shopping.com,2024-06-03,Display,Mobile,Mobile,1835477,28436,1.55,2249,1911,338,1911,338,66835.12,353708.78,5.29,36.41,2.35,29.72,1651929,1835477,90.0,1651929,1835477,1835477,9.0
New_Year_2024,Native_Placement,Native_Creative,Deals.com,2024-06-03,Native,Desktop,Desktop,1229206,34770,2.83,1945,1653,292,1653,292,85810.65,316690.73,3.69,69.81,2.47,44.12,1106285,1229206,90.0,1106285,1229206,1229206,15.8
Holiday_Campaign_2024,Display_Placement,Display_Creative,Shopping.com,2024-06-04,Display,Mobile,Mobile,2310656,62737,2.72,5512,4685,827,4685,827,106873.62,814880.67,7.62,46.25,1.7,19.39,2079590,2310656,90.0,2079590,2310656,2310656,12.7
Holiday_Campaign_2024,Video_Placement,Video_Creative,TechReview.com,2024-06-04,Video,Desktop,Desktop,2034002,43701,2.15,4171,3545,626,3545,626,84237.88,706711.5,8.39,41.41,1.93,20.2,1830601,2034002,90.0,1830601,2034002,2034002,11.6
Holiday_Campaign_2024,Display_Placement,Display_Creative,PremiumNews.com,2024-06-04,Display,Desktop,Desktop,3055694,54876,1.8,3522,2993,529,2993,529,131777.31,654662.84,4.97,43.13,2.4,37.42,2750124,3055694,90.0,2750124,3055694,3055694,14.7
Black_Friday_2024,Video_Placement,Video_Creative,Deals.com,2024-06-04,Video,Mobile,Mobile,1906451,40921,2.15,3490,2966,524,2966,524,82056.92,522230.3,6.36,43.04,2.01,23.51,1715805,1906451,90.0,1715805,1906451,1906451,11.7
Black_Friday_2024,Native_Placement,Native_Creative,Deals.com,2024-06-04,Native,Desktop,Desktop,1827230,37566,2.06,2475,2103,372,2103,372,82017.66,403272.94,4.92,44.89,2.18,33.14,1644507,1827230,90.0,1644507,1827230,1827230,14.0
Black_Friday_2024,Native_Placement,Native_Creative,PremiumNews.com,2024-06-04,Native,Mobile,Mobile,1560559,42973,2.75,2432,2067,365,2067,365,97019.1,434822.73,4.48,62.17,2.26,39.89,1404503,1560559,90.0,1404503,1560559,1560559,15.9
Cyber_Monday_2024,Native_Placement,Native_Creative,TechReview.com,2024-06-04,Native,Mobile,Mobile,1728098,33580,1.94,2023,1719,304,1719,304,63897.45,344105.08,5.39,36.98,1.9,31.59,1555288,1728098,90.0,1555288,1728098,1728098,15.0
Cyber_Monday_2024,Display_Placement,Display_Creative,Lifestyle.com,2024-06-04,Display,Desktop,Desktop,2560193,44757,1.75,2897,2462,435,2462,435,78986.2,555532.97,7.03,30.85,1.76,27.26,2304173,2560193,90.0,2304173,2560193,2560193,15.3
Cyber_Monday_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-04,Video,Desktop,Desktop,972786,18152,1.87,1692,1438,254,1438,254,30522.38,296319.04,9.71,31.38,1.68,18.04,875507,972786,90.0,875507,972786,972786,15.6
Summer_Sale_2024,Display_Placement,Display_Creative,Shopping.com,2024-06-04,Display,Desktop,Desktop,2437796,37637,1.54,2346,1994,352,1994,352,92393.22,341033.66,3.69,37.9,2.45,39.38,2194016,2437796,90.0,2194016,2437796,2437796,11.7
Summer_Sale_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-04,Native,Mobile,Mobile,3044203,80558,2.65,5960,5066,894,5066,894,151069.32,1043506.25,6.91,49.63,1.88,25.35,2739782,3044203,90.0,2739782,3044203,3044203,10.7
Summer_Sale_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-04,Display,Mobile,Mobile,2007282,52310,2.61,3109,2642,467,2642,467,88123.42,502649.24,5.7,43.9,1.68,28.34,1806553,2007282,90.0,1806553,2007282,2007282,12.4
Back_To_School_2024,Display_Placement,Display_Creative,Shopping.com,2024-06-04,Display,Mobile,Mobile,2035459,52333,2.57,4310,3663,647,3663,647,115460.59,769133.23,6.66,56.72,2.21,26.79,1831913,2035459,90.0,1831913,2035459,2035459,10.8
Back_To_School_2024,Display_Placement,Display_Creative,Deals.com,2024-06-04,Display,Mobile,Mobile,2424893,57074,2.35,3164,2689,475,2689,475,110042.86,522779.39,4.75,45.38,1.93,34.78,2182403,2424893,90.0,2182403,2424893,2424893,12.8
Back_To_School_2024,Display_Placement,Display_Creative,Shopping.com,2024-06-04,Display,Mobile,Mobile,2117999,52694,2.49,3889,3305,584,3305,584,128545.39,637392.46,4.96,60.69,2.44,33.05,1906199,2117999,90.0,1906199,2117999,2117999,12.7
Spring_Launch_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-04,Video,Mobile,Mobile,1540229,30031,1.95,2747,2334,413,2334,413,58866.89,432412.15,7.35,38.22,1.96,21.43,1386206,1540229,90.0,1386206,1540229,1540229,12.8
Spring_Launch_2024,Native_Placement,Native_Creative,PremiumNews.com,2024-06-04,Native,Mobile,Mobile,2179511,48858,2.24,3232,2747,485,2747,485,97804.26,597466.28,6.11,44.87,2.0,30.26,1961559,2179511,90.0,1961559,2179511,2179511,13.7
Spring_Launch_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-04,Native,Desktop,Desktop,2044875,47079,2.3,4096,3481,615,3481,615,108585.75,630584.96,5.81,53.1,2.31,26.51,1840387,2044875,90.0,1840387,2044875,2044875,11.0
Valentine_Day_2024,Display_Placement,Display_Creative,PremiumNews.com,2024-06-04,Display,Mobile,Mobile,2582932,46171,1.79,2449,2081,368,2081,368,84314.36,454829.41,5.39,32.64,1.83,34.43,2324638,2582932,90.0,2324638,2582932,2582932,12.8
Valentine_Day_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-04,Display,Desktop,Desktop,2102620,49264,2.34,4226,3592,634,3592,634,97430.37,711108.25,7.3,46.34,1.98,23.05,1892358,2102620,90.0,1892358,2102620,2102620,9.2
Valentine_Day_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-04,Video,Mobile,Mobile,3030243,60921,2.01,4386,3728,658,3728,658,123973.29,775238.1,6.25,40.91,2.03,28.27,2727218,3030243,90.0,2727218,3030243,3030243,13.0
New_Year_2024,Display_Placement,Display_Creative,Shopping.com,2024-06-04,Display,Desktop,Desktop,1495796,23370,1.56,1879,1597,282,1597,282,56528.41,345260.86,6.11,37.79,2.42,30.08,1346216,1495796,90.0,1346216,1495796,1495796,16.1
New_Year_2024,Video_Placement,Video_Creative,Deals.com,2024-06-04,Video,Mobile,Mobile,999543,18328,1.83,1406,1195,211,1195,211,34422.56,205644.43,5.97,34.44,1.88,24.48,899588,999543,90.0,899588,999543,999543,11.8
New_Year_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-04,Native,Desktop,Desktop,1592477,30068,1.89,2868,2437,431,2437,431,56536.9,433357.84,7.67,35.5,1.88,19.71,1433229,1592477,90.0,1433229,1592477,1592477,9.7
Holiday_Campaign_2024,Video_Placement,Video_Creative,Deals.com,2024-06-05,Video,Mobile,Mobile,2231299,55416,2.48,3232,2747,485,2747,485,103328.26,590210.04,5.71,46.31,1.86,31.97,2008169,2231299,90.0,2008169,2231299,2231299,10.8
Holiday_Campaign_2024,Video_Placement,Video_Creative,Shopping.com,2024-06-05,Video,Mobile,Mobile,1734484,39087,2.25,2389,2030,359,2030,359,93863.49,384135.08,4.09,54.12,2.4,39.29,1561035,1734484,90.0,1561035,1734484,1734484,10.9
Holiday_Campaign_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-05,Display,Mobile,Mobile,1162982,29702,2.55,1790,1521,269,1521,269,59424.79,261469.72,4.4,51.1,2.0,33.2,1046683,1162982,90.0,1046683,1162982,1162982,14.9
Black_Friday_2024,Display_Placement,Display_Creative,Shopping.com,2024-06-05,Display,Mobile,Mobile,2630760,49131,1.87,3861,3281,580,3281,580,111635.12,717982.67,6.43,42.43,2.27,28.91,2367684,2630760,90.0,2367684,2630760,2630760,11.4
Black_Friday_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-05,Native,Mobile,Mobile,3359366,72348,2.15,4127,3507,620,3507,620,172976.71,711616.03,4.11,51.49,2.39,41.91,3023429,3359366,90.0,3023429,3359366,3359366,13.3
Black_Friday_2024,Display_Placement,Display_Creative,Lifestyle.com,2024-06-05,Display,Mobile,Mobile,3731260,85001,2.28,4483,3810,673,3810,673,204964.38,712896.99,3.48,54.93,2.41,45.72,3358134,3731260,90.0,3358134,3731260,3731260,12.5
Cyber_Monday_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-05,Display,Desktop,Desktop,2443368,47206,1.93,3936,3345,591,3345,591,96339.97,694639.69,7.21,39.43,2.04,24.48,2199031,2443368,90.0,2199031,2443368,2443368,14.9
Cyber_Monday_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-05,Display,Desktop,Desktop,1533843,35128,2.29,3073,2612,461,2612,461,80116.55,528654.38,6.6,52.23,2.28,26.07,1380458,1533843,90.0,1380458,1533843,1533843,11.6
