Campaign_Name,Ad_Group_Name,Keyword,Match_Type,Date,Network,Device,Location,Age,Gender,Impressions,Clicks,CTR,Avg_CPC,Cost,Conversions,Conv_Rate,Cost_Per_Conv,Conv_Value,ROAS,Quality_Score,Impression_Share,Search_Impr_Share,Top_Impr_Rate
Spring_Sale_2024,spring_AG,spring sale,Broad,2024-06-01,Shopping,Desktop,United States,45-54,Female,790341,18852,2.39,2.46,46288.59,1591,8.44,29.09,300502.93,6.49,8,64.5,71.6,72.1
Spring_Sale_2024,spring_AG,spring deals,Phrase,2024-06-01,Shopping,Mobile,United States,45-54,Female,784573,20904,2.66,1.67,34977.87,2188,10.47,15.99,371823.62,10.63,7,66.2,72.2,72.1
Spring_Sale_2024,spring_AG,spring fashion,Exact,2024-06-01,Shopping,Desktop,United States,18-24,Male,295793,9039,3.06,1.92,17388.27,806,8.92,21.57,117625.42,6.76,7,75.3,66.9,62.4
Valentine_Day_2024,valentine_AG,valentine gifts,Exact,2024-06-01,Shopping,Desktop,United States,25-34,Female,453566,8238,1.82,1.66,13702.34,668,8.11,20.51,93954.2,6.86,9,66.8,83.2,66.5
Valentine_Day_2024,valentine_AG,valentine presents,Phrase,2024-06-01,Shopping,Desktop,United States,45-54,Female,707218,15216,2.15,2.01,30621.4,1367,8.98,22.4,218173.53,7.12,10,72.6,77.4,77.2
Valentine_Day_2024,valentine_AG,valentine flowers,Broad,2024-06-01,Search,Desktop,United States,18-24,Female,504985,9735,1.93,2.15,20952.72,582,5.98,36.0,101142.32,4.83,10,74.2,72.8,69.8
New_Year_2024,new_AG,new year deals,Broad,2024-06-01,Search,Desktop,United States,18-24,Male,657035,18687,2.84,1.54,28861.68,1813,9.7,15.92,338610.12,11.73,10,65.3,69.1,74.0
New_Year_2024,new_AG,new year sale,Phrase,2024-06-01,Shopping,Mobile,United States,18-24,Male,845521,23609,2.79,2.0,47272.67,2582,10.94,18.31,500362.53,10.58,9,70.1,70.5,66.6
New_Year_2024,fitness_AG,fitness equipment,Exact,2024-06-01,Shopping,Mobile,United States,35-44,Female,612894,14440,2.36,2.27,32848.8,1482,10.26,22.17,282298.42,8.59,9,64.1,79.3,68.1
Holiday_Shopping_2024,holiday_AG,holiday gifts,Broad,2024-06-02,Search,Desktop,United States,35-44,Male,810779,20254,2.5,2.34,47480.65,1653,8.16,28.72,326253.32,6.87,9,77.6,72.8,63.8
Holiday_Shopping_2024,christmas_AG,christmas presents,Phrase,2024-06-02,Shopping,Desktop,United States,18-24,Male,496782,13243,2.67,2.08,27512.27,1137,8.59,24.2,190434.42,6.92,10,82.7,69.0,69.0
Holiday_Shopping_2024,best_AG,best deals,Exact,2024-06-02,Shopping,Desktop,United States,25-34,Male,662438,13677,2.06,2.42,33164.26,1327,9.7,24.99,179831.72,5.42,8,83.2,82.4,74.0
Black_Friday_2024,black_AG,black friday deals,Exact,2024-06-02,Search,Desktop,United States,35-44,Male,565559,18332,3.24,1.62,29779.16,1592,8.68,18.71,228047.3,7.66,9,73.6,82.4,74.0
Black_Friday_2024,black_AG,black friday sale,Phrase,2024-06-02,Shopping,Desktop,United States,45-54,Female,1057729,24124,2.28,2.43,58724.33,1888,7.83,31.1,254197.01,4.33,8,78.1,70.0,60.9
Black_Friday_2024,bf_AG,bf deals,Broad,2024-06-02,Search,Desktop,United States,35-44,Male,557657,15089,2.71,2.44,36825.15,1346,8.92,27.36,183345.39,4.98,9,64.4,81.8,58.6
Cyber_Monday_2024,cyber_AG,cyber monday tech,Exact,2024-06-02,Shopping,Desktop,United States,18-24,Female,922795,20273,2.2,2.19,44350.39,1500,7.4,29.57,201684.99,4.55,8,80.2,68.9,69.0
Cyber_Monday_2024,laptop_AG,laptop deals,Phrase,2024-06-02,Shopping,Desktop,United States,18-24,Female,389941,10934,2.8,1.85,20212.28,1067,9.76,18.94,206032.31,10.19,8,77.5,77.5,75.5
Cyber_Monday_2024,tech_AG,tech sale,Broad,2024-06-02,Search,Mobile,United States,25-34,Female,982229,22369,2.28,2.49,55736.85,1363,6.09,40.89,268678.24,4.82,10,69.3,71.7,75.8
Summer_Sale_2024,summer_AG,summer sale,Broad,2024-06-02,Search,Desktop,United States,35-44,Male,812520,16958,2.09,2.14,36342.84,1619,9.55,22.45,214506.27,5.9,10,73.9,72.8,63.3
Summer_Sale_2024,summer_AG,summer deals,Phrase,2024-06-02,Shopping,Desktop,United States,25-34,Female,910979,18054,1.98,1.82,32923.38,1730,9.58,19.03,328128.95,9.97,7,77.0,63.7,71.6
Summer_Sale_2024,summer_AG,summer clothing,Exact,2024-06-02,Search,Mobile,United States,35-44,Female,658240,16498,2.51,1.99,32891.93,1815,11.0,18.12,315802.11,9.6,7,81.9,76.2,62.3
Back_To_School_2024,school_AG,school supplies,Exact,2024-06-02,Shopping,Mobile,United States,18-24,Male,662073,18197,2.75,1.96,35594.63,1457,8.01,24.43,194483.02,5.46,10,83.6,81.4,67.2
Back_To_School_2024,back_AG,back to school,Phrase,2024-06-02,Search,Mobile,United States,25-34,Male,681480,13743,2.02,2.0,27538.37,1125,8.19,24.48,197253.56,7.16,9,74.3,73.0,63.8
Back_To_School_2024,student_AG,student laptop,Broad,2024-06-02,Shopping,Desktop,United States,45-54,Female,619435,19360,3.13,1.51,29276.8,1429,7.38,20.49,230843.96,7.88,10,70.9,74.1,67.2
Spring_Sale_2024,spring_AG,spring sale,Broad,2024-06-02,Search,Mobile,United States,25-34,Female,549053,10333,1.88,1.64,16920.65,871,8.43,19.43,163602.02,9.67,10,66.0,76.9,74.0
Spring_Sale_2024,spring_AG,spring deals,Phrase,2024-06-02,Shopping,Mobile,United States,25-34,Female,455641,12540,2.75,2.19,27420.69,1198,9.55,22.89,228570.49,8.34,9,72.7,67.4,68.9
Spring_Sale_2024,spring_AG,spring fashion,Exact,2024-06-02,Search,Desktop,United States,25-34,Female,532894,11994,2.25,2.38,28584.4,1039,8.66,27.51,167092.57,5.85,10,69.7,67.5,62.6
Valentine_Day_2024,valentine_AG,valentine gifts,Exact,2024-06-02,Search,Mobile,United States,18-24,Male,548294,17696,3.23,2.03,36007.79,1124,6.35,32.04,204083.08,5.67,8,83.5,82.4,70.6
Valentine_Day_2024,valentine_AG,valentine presents,Phrase,2024-06-02,Search,Desktop,United States,45-54,Female,394711,10581,2.68,1.51,16008.53,983,9.29,16.29,175796.44,10.98,10,80.0,74.4,72.1
Valentine_Day_2024,valentine_AG,valentine flowers,Broad,2024-06-02,Shopping,Desktop,United States,25-34,Male,832178,16005,1.92,2.4,38385.86,1460,9.12,26.29,262850.27,6.85,9,71.5,82.2,68.1
New_Year_2024,new_AG,new year deals,Broad,2024-06-02,Shopping,Desktop,United States,45-54,Female,829221,26354,3.18,2.42,63673.44,2434,9.24,26.16,347913.36,5.46,8,85.1,83.6,59.9
New_Year_2024,new_AG,new year sale,Phrase,2024-06-02,Shopping,Mobile,United States,45-54,Male,690257,17756,2.57,1.59,28269.0,1228,6.92,23.02,205675.95,7.28,10,85.4,62.7,76.4
New_Year_2024,fitness_AG,fitness equipment,Exact,2024-06-02,Shopping,Mobile,United States,45-54,Female,716035,21737,3.04,1.88,40812.32,1837,8.45,22.22,291416.62,7.14,10,85.1,73.5,59.4
Holiday_Shopping_2024,holiday_AG,holiday gifts,Broad,2024-06-03,Search,Desktop,United States,35-44,Male,517897,12652,2.44,2.45,31042.39,1119,8.84,27.74,199115.75,6.41,9,65.7,81.3,68.8
Holiday_Shopping_2024,christmas_AG,christmas presents,Phrase,2024-06-03,Search,Desktop,United States,25-34,Female,979671,23690,2.42,2.18,51717.26,1978,8.35,26.15,279706.65,5.41,9,69.9,63.5,66.8
Holiday_Shopping_2024,best_AG,best deals,Exact,2024-06-03,Shopping,Mobile,United States,45-54,Female,858994,18172,2.12,1.99,36169.33,1506,8.29,24.02,251811.86,6.96,10,67.9,73.7,65.2
Black_Friday_2024,black_AG,black friday deals,Exact,2024-06-03,Shopping,Desktop,United States,18-24,Female,398853,10485,2.63,1.65,17279.67,1105,10.54,15.64,214038.82,12.39,7,78.6,68.7,70.6
Black_Friday_2024,black_AG,black friday sale,Phrase,2024-06-03,Shopping,Desktop,United States,45-54,Female,407845,9530,2.34,1.79,17032.47,648,6.8,26.28,94833.07,5.57,9,78.4,81.5,65.7
Black_Friday_2024,bf_AG,bf deals,Broad,2024-06-03,Shopping,Desktop,United States,25-34,Female,303499,5369,1.77,1.91,10232.81,383,7.13,26.72,58709.56,5.74,7,69.2,76.6,70.8
Cyber_Monday_2024,cyber_AG,cyber monday tech,Exact,2024-06-03,Search,Desktop,United States,25-34,Male,451901,12651,2.8,1.66,21063.17,1237,9.78,17.03,178083.07,8.45,7,76.3,63.7,58.8
Cyber_Monday_2024,laptop_AG,laptop deals,Phrase,2024-06-03,Shopping,Mobile,United States,35-44,Male,713266,13605,1.91,1.81,24579.7,1044,7.67,23.54,190824.59,7.76,9,71.2,72.9,73.6
Cyber_Monday_2024,tech_AG,tech sale,Broad,2024-06-03,Shopping,Desktop,United States,25-34,Male,497562,14714,2.96,2.33,34310.03,1617,10.99,21.22,260833.66,7.6,9,72.1,77.4,59.0
Summer_Sale_2024,summer_AG,summer sale,Broad,2024-06-03,Shopping,Mobile,United States,35-44,Female,494541,11139,2.25,2.23,24834.57,728,6.54,34.11,126632.75,5.1,8,69.8,76.3,67.1
Summer_Sale_2024,summer_AG,summer deals,Phrase,2024-06-03,Search,Mobile,United States,25-34,Male,562676,11933,2.12,1.72,20521.34,810,6.79,25.33,131957.75,6.43,10,85.2,76.5,74.9
Summer_Sale_2024,summer_AG,summer clothing,Exact,2024-06-03,Search,Mobile,United States,18-24,Female,1016834,26040,2.56,1.74,45259.34,2781,10.68,16.27,495387.72,10.95,7,85.3,76.3,73.6
Back_To_School_2024,school_AG,school supplies,Exact,2024-06-03,Shopping,Mobile,United States,18-24,Male,768538,22202,2.89,2.06,45794.86,1855,8.36,24.69,345666.09,7.55,9,81.1,70.1,68.0
Back_To_School_2024,back_AG,back to school,Phrase,2024-06-03,Search,Mobile,United States,18-24,Female,680624,12200,1.79,1.75,21320.34,881,7.22,24.2,167648.38,7.86,7,71.2,74.0,74.8
Back_To_School_2024,student_AG,student laptop,Broad,2024-06-03,Shopping,Mobile,United States,35-44,Male,658614,12748,1.94,2.45,31211.69,1216,9.54,25.67,174721.63,5.6,9,82.2,79.3,74.9
Spring_Sale_2024,spring_AG,spring sale,Broad,2024-06-03,Shopping,Desktop,United States,18-24,Female,537873,13031,2.42,2.19,28585.76,1034,7.93,27.65,141263.18,4.94,10,66.8,75.1,65.5
Spring_Sale_2024,spring_AG,spring deals,Phrase,2024-06-03,Search,Desktop,United States,18-24,Female,587862,17049,2.9,1.92,32677.88,1287,7.55,25.39,230491.75,7.05,10,74.0,77.3,58.1
Spring_Sale_2024,spring_AG,spring fashion,Exact,2024-06-03,Search,Desktop,United States,45-54,Female,507589,13145,2.59,2.48,32628.68,964,7.33,33.85,170696.42,5.23,10,67.6,68.9,59.4
Valentine_Day_2024,valentine_AG,valentine gifts,Exact,2024-06-03,Shopping,Mobile,United States,35-44,Male,843688,18693,2.22,1.73,32347.61,1808,9.67,17.89,262454.79,8.11,10,69.2,64.3,77.4
Valentine_Day_2024,valentine_AG,valentine presents,Phrase,2024-06-03,Search,Desktop,United States,18-24,Male,500361,16229,3.24,1.68,27202.23,982,6.05,27.7,187675.69,6.9,8,76.8,69.7,68.3
Valentine_Day_2024,valentine_AG,valentine flowers,Broad,2024-06-03,Shopping,Mobile,United States,18-24,Male,772630,20877,2.7,2.12,44185.51,1327,6.36,33.3,254923.89,5.77,8,74.1,66.3,64.1
New_Year_2024,new_AG,new year deals,Broad,2024-06-03,Shopping,Desktop,United States,35-44,Male,769496,17889,2.32,2.06,36886.42,1929,10.78,19.12,337600.63,9.15,9,79.0,67.5,71.4
New_Year_2024,new_AG,new year sale,Phrase,2024-06-03,Shopping,Mobile,United States,45-54,Male,433612,13513,3.12,1.63,22019.96,1000,7.4,22.02,136356.05,6.19,7,72.3,65.3,75.0
New_Year_2024,fitness_AG,fitness equipment,Exact,2024-06-03,Shopping,Mobile,United States,35-44,Male,661131,18208,2.75,1.6,29193.52,1400,7.69,20.85,273919.05,9.38,7,66.8,74.2,65.0
Holiday_Shopping_2024,holiday_AG,holiday gifts,Broad,2024-06-04,Shopping,Desktop,United States,18-24,Female,1050112,22872,2.18,1.55,35400.65,2179,9.53,16.25,334617.69,9.45,9,78.5,64.3,68.5
Holiday_Shopping_2024,christmas_AG,christmas presents,Phrase,2024-06-04,Shopping,Mobile,United States,25-34,Male,523291,13370,2.55,2.35,31465.93,1458,10.91,21.58,264928.4,8.42,10,81.0,73.6,59.8
Holiday_Shopping_2024,best_AG,best deals,Exact,2024-06-04,Search,Mobile,United States,35-44,Female,675288,13314,1.97,1.75,23241.73,1272,9.55,18.27,223059.84,9.6,9,70.8,79.0,77.0
Black_Friday_2024,black_AG,black friday deals,Exact,2024-06-04,Shopping,Mobile,United States,25-34,Female,960524,26573,2.77,1.77,47081.5,2896,10.9,16.26,434586.86,9.23,9,83.7,82.4,72.5
Black_Friday_2024,black_AG,black friday sale,Phrase,2024-06-04,Search,Mobile,United States,18-24,Male,637279,15529,2.44,2.42,37573.14,1512,9.74,24.85,232190.44,6.18,10,64.5,73.9,74.9
Black_Friday_2024,bf_AG,bf deals,Broad,2024-06-04,Shopping,Desktop,United States,18-24,Female,892486,26798,3.0,1.71,45951.78,2176,8.12,21.12,375387.21,8.17,9,78.8,69.4,71.9
Cyber_Monday_2024,cyber_AG,cyber monday tech,Exact,2024-06-04,Search,Desktop,United States,35-44,Male,541701,14085,2.6,2.16,30466.2,1271,9.02,23.97,181770.45,5.97,7,83.4,67.3,73.0
Cyber_Monday_2024,laptop_AG,laptop deals,Phrase,2024-06-04,Shopping,Desktop,United States,18-24,Male,249081,6828,2.74,2.4,16357.73,409,5.99,39.99,80433.42,4.92,8,64.4,62.3,75.3
Cyber_Monday_2024,tech_AG,tech sale,Broad,2024-06-04,Search,Desktop,United States,25-34,Female,831237,15865,1.91,2.44,38669.59,1487,9.37,26.01,207182.04,5.36,9,83.1,72.6,63.5
Summer_Sale_2024,summer_AG,summer sale,Broad,2024-06-04,Search,Desktop,United States,25-34,Female,1157586,33079,2.86,2.12,70228.17,3484,10.53,20.16,657934.12,9.37,8,68.9,81.3,65.4
Summer_Sale_2024,summer_AG,summer deals,Phrase,2024-06-04,Shopping,Desktop,United States,35-44,Female,913856,29321,3.21,2.26,66261.78,2225,7.59,29.78,388847.92,5.87,7,75.9,64.6,75.9
Summer_Sale_2024,summer_AG,summer clothing,Exact,2024-06-04,Search,Mobile,United States,25-34,Female,771162,22491,2.92,2.06,46312.42,1591,7.07,29.11,302826.39,6.54,9,71.7,62.5,77.8
Back_To_School_2024,school_AG,school supplies,Exact,2024-06-04,Search,Desktop,United States,45-54,Female,1157065,31055,2.68,1.51,46967.8,2208,7.11,21.27,357332.33,7.61,8,77.9,77.6,73.9
Back_To_School_2024,back_AG,back to school,Phrase,2024-06-04,Search,Mobile,United States,18-24,Male,647069,17692,2.73,2.31,40890.51,1702,9.62,24.02,331919.98,8.12,7,83.4,65.8,77.1
Back_To_School_2024,student_AG,student laptop,Broad,2024-06-04,Search,Mobile,United States,25-34,Male,469439,15195,3.24,2.2,33449.2,1390,9.15,24.06,213233.37,6.37,10,66.7,64.8,75.5
Spring_Sale_2024,spring_AG,spring sale,Broad,2024-06-04,Search,Desktop,United States,25-34,Male,601488,15577,2.59,2.43,37880.71,1129,7.25,33.55,205952.04,5.44,8,74.3,66.7,75.2
Spring_Sale_2024,spring_AG,spring deals,Phrase,2024-06-04,Search,Desktop,United States,45-54,Male,392829,7433,1.89,2.04,15176.38,765,10.29,19.84,104359.54,6.88,7,73.1,79.7,75.3
Spring_Sale_2024,spring_AG,spring fashion,Exact,2024-06-04,Shopping,Mobile,United States,35-44,Male,926485,20462,2.21,2.01,41065.79,1991,9.73,20.63,282862.95,6.89,8,77.1,77.8,75.1
Valentine_Day_2024,valentine_AG,valentine gifts,Exact,2024-06-04,Search,Mobile,United States,18-24,Female,553073,12413,2.24,2.04,25343.05,1182,9.52,21.44,212975.59,8.4,7,69.4,62.4,72.0
Valentine_Day_2024,valentine_AG,valentine presents,Phrase,2024-06-04,Shopping,Mobile,United States,18-24,Female,1210921,35677,2.95,2.12,75723.22,3901,10.93,19.41,626444.84,8.27,9,75.6,62.3,77.1
Valentine_Day_2024,valentine_AG,valentine flowers,Broad,2024-06-04,Search,Mobile,United States,18-24,Male,668127,15608,2.34,1.54,24107.56,1217,7.8,19.81,160933.01,6.68,8,71.0,82.9,60.9
New_Year_2024,new_AG,new year deals,Broad,2024-06-04,Shopping,Mobile,United States,18-24,Female,627905,12746,2.03,2.28,29103.95,1123,8.81,25.92,163225.33,5.61,7,83.2,79.2,77.2
New_Year_2024,new_AG,new year sale,Phrase,2024-06-04,Shopping,Desktop,United States,18-24,Male,244961,5966,2.44,2.5,14914.05,601,10.07,24.82,112305.8,7.53,10,77.7,77.7,74.2
New_Year_2024,fitness_AG,fitness equipment,Exact,2024-06-04,Shopping,Desktop,United States,35-44,Female,588280,16406,2.79,2.32,37986.59,1010,6.16,37.61,153121.57,4.03,10,71.0,80.8,73.7
Holiday_Shopping_2024,holiday_AG,holiday gifts,Broad,2024-06-05,Search,Mobile,United States,35-44,Female,676353,20000,2.96,1.95,39068.59,2082,10.41,18.76,307008.07,7.86,7,79.6,67.3,58.6
Holiday_Shopping_2024,christmas_AG,christmas presents,Phrase,2024-06-05,Shopping,Mobile,United States,25-34,Female,821476,20449,2.49,2.34,47920.92,1747,8.54,27.43,251260.42,5.24,9,86.1,68.0,77.9
Holiday_Shopping_2024,best_AG,best deals,Exact,2024-06-05,Search,Mobile,United States,18-24,Female,784446,20110,2.56,1.59,32014.38,1909,9.49,16.77,358543.35,11.2,7,73.8,67.3,74.2
Black_Friday_2024,black_AG,black friday deals,Exact,2024-06-05,Search,Mobile,United States,45-54,Male,719982,14734,2.05,2.45,36091.5,1589,10.78,22.71,248241.97,6.88,10,65.2,75.9,64.3
Black_Friday_2024,black_AG,black friday sale,Phrase,2024-06-05,Search,Mobile,United States,18-24,Male,346092,10686,3.09,2.5,26694.87,826,7.73,32.32,149632.59,5.61,9,65.2,70.1,60.0
Black_Friday_2024,bf_AG,bf deals,Broad,2024-06-05,Search,Mobile,United States,45-54,Male,540873,14242,2.63,2.3,32785.53,1176,8.26,27.88,195916.69,5.98,8,69.8,78.2,65.2
Cyber_Monday_2024,cyber_AG,cyber monday tech,Exact,2024-06-05,Search,Mobile,United States,45-54,Female,717565,14338,2.0,1.63,23348.98,1171,8.17,19.94,159612.03,6.84,10,81.9,81.9,62.9
Cyber_Monday_2024,laptop_AG,laptop deals,Phrase,2024-06-05,Shopping,Desktop,United States,45-54,Male,329070,8320,2.53,2.49,20675.21,522,6.27,39.61,91913.88,4.45,8,71.5,73.0,62.2
Cyber_Monday_2024,tech_AG,tech sale,Broad,2024-06-05,Search,Desktop,United States,18-24,Male,248128,5248,2.12,1.57,8245.98,386,7.36,21.36,68539.38,8.31,9,78.4,74.2,57.8
Summer_Sale_2024,summer_AG,summer sale,Broad,2024-06-05,Shopping,Mobile,United States,35-44,Female,337947,10186,3.01,1.77,18046.93,1079,10.59,16.73,204707.93,11.34,8,67.2,81.7,70.6
Summer_Sale_2024,summer_AG,summer deals,Phrase,2024-06-05,Search,Mobile,United States,25-34,Male,488248,14789,3.03,1.91,28173.87,1434,9.7,19.65,252487.89,8.96,7,81.1,76.5,59.4
Summer_Sale_2024,summer_AG,summer clothing,Exact,2024-06-05,Search,Desktop,United States,35-44,Female,827985,26163,3.16,1.72,45089.97,2186,8.36,20.63,340048.14,7.54,10,65.7,66.0,63.6
Back_To_School_2024,school_AG,school supplies,Exact,2024-06-05,Shopping,Desktop,United States,25-34,Female,418606,12816,3.06,2.02,25832.14,1188,9.27,21.74,190214.29,7.36,8,83.3,76.6,59.6
Back_To_School_2024,back_AG,back to school,Phrase,2024-06-05,Shopping,Mobile,United States,35-44,Female,488627,14614,2.99,2.23,32642.64,1544,10.57,21.14,227008.26,6.95,7,85.7,68.3,58.8
Back_To_School_2024,student_AG,student laptop,Broad,2024-06-05,Search,Mobile,United States,25-34,Female,315886,6050,1.92,2.18,13196.93,637,10.53,20.72,122819.11,9.31,10,77.4,73.8,78.1
Spring_Sale_2024,spring_AG,spring sale,Broad,2024-06-05,Search,Desktop,United States,18-24,Male,514153,16150,3.14,2.42,39028.01,1199,7.42,32.55,159356.18,4.08,9,73.6,80.9,74.9
Spring_Sale_2024,spring_AG,spring deals,Phrase,2024-06-05,Shopping,Desktop,United States,35-44,Female,850059,16873,1.98,1.61,27124.83,1825,10.82,14.86,291657.35,10.75,9,78.3,81.9,75.5
Spring_Sale_2024,spring_AG,spring fashion,Exact,2024-06-05,Shopping,Desktop,United States,35-44,Male,944162,23432,2.48,2.24,52376.59,1812,7.73,28.91,313975.72,5.99,7,64.3,80.1,78.2
Valentine_Day_2024,valentine_AG,valentine gifts,Exact,2024-06-05,Search,Mobile,United States,35-44,Female,905220,20728,2.29,2.03,42100.67,1483,7.15,28.39,225411.8,5.35,9,74.0,78.4,58.2
Valentine_Day_2024,valentine_AG,valentine presents,Phrase,2024-06-05,Shopping,Mobile,United States,18-24,Female,604097,15614,2.58,1.72,26780.87,991,6.35,27.02,166103.37,6.2,9,78.1,76.1,65.1
Valentine_Day_2024,valentine_AG,valentine flowers,Broad,2024-06-05,Shopping,Mobile,United States,25-34,Female,721638,15014,2.08,1.54,23129.43,1034,6.89,22.37,192352.96,8.32,10,63.8,63.0,60.4
New_Year_2024,new_AG,new year deals,Broad,2024-06-05,Shopping,Desktop,United States,45-54,Male,359592,8093,2.25,1.68,13578.73,527,6.51,25.77,102219.52,7.53,8,84.3,79.0,62.9
New_Year_2024,new_AG,new year sale,Phrase,2024-06-05,Search,Mobile,United States,45-54,Male,397710,10932,2.75,1.79,19586.85,946,8.65,20.7,165535.56,8.45,7,75.4,71.1,64.9
New_Year_2024,fitness_AG,fitness equipment,Exact,2024-06-05,Shopping,Mobile,United States,25-34,Female,361152,10323,2.86,2.2,22671.66,811,7.86,27.96,148574.08,6.55,9,85.3,77.1,66.1
Holiday_Shopping_2024,holiday_AG,holiday gifts,Broad,2024-06-06,Search,Desktop,United States,45-54,Male,1066538,28412,2.66,2.38,67554.56,2723,9.58,24.81,497804.49,7.37,7,78.8,64.1,67.7
Holiday_Shopping_2024,christmas_AG,christmas presents,Phrase,2024-06-06,Shopping,Mobile,United States,25-34,Female,313477,7590,2.42,2.22,16822.68,614,8.09,27.4,81114.06,4.82,9,72.1,63.5,73.7
Holiday_Shopping_2024,best_AG,best deals,Exact,2024-06-06,Search,Mobile,United States,25-34,Female,729069,21577,2.96,1.53,33019.87,1319,6.11,25.03,252756.88,7.65,7,66.5,76.7,74.0
Black_Friday_2024,black_AG,black friday deals,Exact,2024-06-06,Shopping,Desktop,United States,45-54,Male,658007,16908,2.57,1.73,29206.55,1802,10.66,16.21,273757.81,9.37,8,68.7,73.6,61.7
Black_Friday_2024,black_AG,black friday sale,Phrase,2024-06-06,Search,Desktop,United States,25-34,Male,1019842,25727,2.52,1.65,42393.07,1618,6.29,26.2,228200.99,5.38,9,66.8,68.9,74.8
Black_Friday_2024,bf_AG,bf deals,Broad,2024-06-06,Shopping,Desktop,United States,45-54,Male,712840,13844,1.94,1.8,24959.34,1214,8.77,20.56,221373.22,8.87,7,84.5,71.1,60.0
Cyber_Monday_2024,cyber_AG,cyber monday tech,Exact,2024-06-06,Shopping,Mobile,United States,25-34,Female,676889,14762,2.18,2.29,33747.37,1395,9.45,24.19,203383.12,6.03,7,82.6,80.9,75.8
Cyber_Monday_2024,laptop_AG,laptop deals,Phrase,2024-06-06,Search,Desktop,United States,45-54,Female,604166,11784,1.95,1.6,18901.03,941,7.99,20.09,150875.65,7.98,8,83.3,67.9,70.6
Cyber_Monday_2024,tech_AG,tech sale,Broad,2024-06-06,Search,Desktop,United States,25-34,Male,998237,21499,2.15,1.77,37991.73,2012,9.36,18.88,362009.09,9.53,8,85.3,80.7,74.6
